Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,0.1u,
J1,PinHeader_1x07_P2.54mm_Horizontal,1,Conn_01x07_Pin,
J2,PinHeader_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
J3,PinSocket_1x07_P2.54mm_Horizontal,1,Conn_01x07_Socket,
J4,PinSocket_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
"J5, J6",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01_Pin,
"SW1, SW2, SW3, SW4",CherryMX_1.00u,4,CherryMX,
U1,SOT-23-3,1,XC6206P332MR-G,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V003FxPx,
