Designator,Mid X,Mid Y,Rotation,Layer
A1,53.11,-73.13,0.0,top
J1,60.73,-114.19,180.0,top
J3,70.0,-78.62,180.0,top
J4,68.73,-57.89,180.0,top
R1,48.65,-102.0,0.0,top
R2,68.0,-111.65,90.0,top
